comparison,feature,left_group,right_group,left_n,left_mean,left_median,left_p25,left_p75,left_min,left_max,right_n,right_mean,right_median,right_p25,right_p75,right_min,right_max,mean_difference,relative_mean_difference
approve_vs_reject,d1_volume,APPROVE,REJECT,8,189511.563,193150.97100000002,125352.50475000001,229748.2345,70691.949,346702.152,73,140271.46491780822,144273.862,86217.669,179506.147,32355.678,326496.482,49240.09808219178,0.35103431842708654
approve_vs_reject,d1_close_vs_ema10_pct,APPROVE,REJECT,8,-3.4825056963667267,-2.883249342694094,-4.390777868961715,-1.7838477479541592,-8.528795996813754,-0.7877424971467151,73,0.20491774741637395,0.20492568542498368,-1.082601967334751,1.5089341201615536,-6.3274725742218045,6.858666767563526,-3.687423443783101,-17.99465146515883
approve_vs_reject,d1_close_vs_ema55_pct,APPROVE,REJECT,8,-9.919583484095986,-9.244964454194015,-11.810744704788407,-7.771476099979599,-15.1001043281768,-6.625740386093004,73,-2.771546225651315,-2.250220386995383,-6.227070087181074,0.6022680327382846,-17.84770480891803,17.902016287300505,-7.1480372584446705,2.579079212999552
approve_vs_reject,d1_ema10_vs_ema55_pct,APPROVE,REJECT,8,-6.649276204577136,-6.489005166539874,-8.59917234510012,-4.606974115493307,-10.561861899777824,-3.5142008211965003,73,-3.008648565519135,-2.600698497831211,-6.257277743002487,-0.13957415384193705,-14.76096965355932,11.386705500384252,-3.640627639058001,1.2100541355283942
approve_vs_reject,d1_dmi_spread,APPROVE,REJECT,8,-19.053758510452127,-19.00098287531948,-24.30672637933863,-12.888968116646549,-33.74358199611165,-4.427571994381431,73,-1.449248362297599,-3.9808793474640254,-8.556378857183205,8.491663510793487,-29.29705640937713,37.79050681946902,-17.604510148154528,12.14733830731733
approve_vs_reject,h4_adx,APPROVE,REJECT,8,31.43910763808291,31.466401201852264,20.15761109051203,36.80407023146947,16.97757620047058,58.6937235945296,73,25.139670474723975,21.96838089747646,16.990752280928,30.88076550586026,8.988803944916775,51.595002409951256,6.2994371633589346,0.25057755509136603
approve_vs_reject,h4_close,APPROVE,REJECT,8,75824.0,66945.65,62449.9,88633.09999999999,59927.2,102124.9,73,83572.06986301372,77546.4,67474.7,91908.0,62756.0,122672.9,-7748.069863013719,-0.09271123565222072
approve_vs_reject,h4_disparity_20,APPROVE,REJECT,8,-2.2071435418700878,-1.9214404442265354,-2.977491913980232,-0.7054276445398439,-6.019549823305981,-0.20860589155686782,73,0.25039971195432936,0.4264870931537601,-0.919629762085139,1.33013000048956,-3.941989568292048,6.307088862806043,-2.4575432538244173,-9.814481153527248
approve_vs_reject,h4_ema_10,APPROVE,REJECT,8,76466.08462511696,68277.4256783067,62743.03811355062,88853.78534230395,59966.45455483166,103736.6643575446,73,83393.41227597737,77776.48314118631,67034.07498747518,91575.73705324279,62536.59044150786,122494.10611771549,-6927.327650860418,-0.08306804412722091
approve_vs_reject,h4_ema_55,APPROVE,REJECT,8,78459.54734743884,70501.24415553795,64219.625099183315,92004.20876714328,61354.16104879514,104760.03156549772,73,83271.53350985657,77303.50576498995,67042.4247738409,91015.19560518359,61294.91844830147,120777.21763427925,-4811.986162417728,-0.05778668843474766
approve_vs_reject,h4_high,APPROVE,REJECT,8,76640.0875,67640.65,62944.4,88890.025,60287.1,105297.0,73,84063.22328767122,78359.2,68189.0,92258.0,63083.9,122777.0,-7423.135787671228,-0.08830420125895777
approve_vs_reject,h4_low,APPROVE,REJECT,8,75546.5625,66802.29999999999,62263.0,88026.275,59712.8,101900.0,73,83111.26986301369,77280.0,66240.0,91342.0,62583.4,121081.5,-7564.707363013687,-0.09101903238251619
approve_vs_reject,h4_market_atr,APPROVE,REJECT,8,1174.0098603134666,1179.19457034949,1085.7727083388543,1333.8626438398255,757.1030296988005,1480.525897558969,73,998.1120461382909,920.1410030935308,803.0888072881846,1100.4247086039074,411.36360630539485,1981.3511370775134,175.89781417517565,0.17623052928348737
approve_vs_reject,h4_minus_di,APPROVE,REJECT,8,26.04590361908876,24.58990411517972,22.77353528593015,27.744212576472634,22.414710403151382,35.57514030858733,73,19.36917458837637,19.299133397548086,13.626005500840714,23.48469765039503,6.12183263850206,42.36565543959155,6.676729030712391,0.3447090117469003
approve_vs_reject,h4_open,APPROVE,REJECT,8,76390.8875,67508.05,62679.625,88555.67499999999,59998.9,104979.9,73,83543.11780821918,78181.6,66937.0,91766.2,62973.6,121847.8,-7152.230308219179,-0.08561124477826854
approve_vs_reject,h4_plus_di,APPROVE,REJECT,8,14.188021127782601,15.411342096255698,12.105300199886004,16.351205573706146,4.119031976517808,21.769032216810547,73,22.20061922572875,20.98556539540018,16.898604353342133,27.251627095915307,7.401885651032566,54.32007350667364,-8.01259809794615,-0.36091777515197354
