trade_id,entry_signal_time,entry_time,signal,atr_expansion,pnl_bruto,pnl_neto,result,duration_hours,entry_allowed,experiment_id
14,2025-10-31 00:00:00+00:00,2025-10-31 04:00:00+00:00,LONG,1.2696928790949409,-1.1909003235753963,-1.459144179374556,LOSS,72.0,False,atr14_not_above_20bar_mean
15,2025-11-03 00:00:00+00:00,2025-11-03 04:00:00+00:00,SHORT,0.8914088231037797,3.9094970617132927,3.664883832884696,WIN,60.0,True,atr14_not_above_20bar_mean
16,2025-11-05 12:00:00+00:00,2025-11-05 16:00:00+00:00,LONG,1.2113708700557315,-1.79669368234424,-2.054089972382665,LOSS,68.0,False,atr14_not_above_20bar_mean
17,2025-11-08 08:00:00+00:00,2025-11-08 12:00:00+00:00,SHORT,0.928980698381595,-1.075088207328477,-1.406684343904662,LOSS,120.0,True,atr14_not_above_20bar_mean
18,2025-11-13 08:00:00+00:00,2025-11-13 12:00:00+00:00,LONG,1.0777628529748264,-15.099985325573062,-15.608768974289973,LOSS,284.0,False,atr14_not_above_20bar_mean
19,2025-11-25 04:00:00+00:00,2025-11-25 08:00:00+00:00,SHORT,0.851275215772051,0.4879684806472398,0.1085620308889712,WIN,164.0,True,atr14_not_above_20bar_mean
20,2025-12-02 00:00:00+00:00,2025-12-02 04:00:00+00:00,LONG,1.1646508921464769,6.898761041180916,6.63919893652782,WIN,60.0,False,atr14_not_above_20bar_mean
21,2025-12-04 12:00:00+00:00,2025-12-04 16:00:00+00:00,SHORT,1.0065469398935314,4.1148822705292085,3.8605567659321247,WIN,68.0,False,atr14_not_above_20bar_mean
22,2025-12-07 08:00:00+00:00,2025-12-07 12:00:00+00:00,LONG,0.7776439387760044,3.3398309716269696,3.0652481676349037,WIN,72.0,True,atr14_not_above_20bar_mean
23,2025-12-10 08:00:00+00:00,2025-12-10 12:00:00+00:00,SHORT,1.0346210191406962,-0.4259089931737406,-0.646595694296525,LOSS,36.0,False,atr14_not_above_20bar_mean
24,2025-12-11 20:00:00+00:00,2025-12-12 00:00:00+00:00,LONG,1.1249514311484974,-4.691730754258332,-5.14507659662732,LOSS,224.0,False,atr14_not_above_20bar_mean
25,2025-12-21 04:00:00+00:00,2025-12-21 08:00:00+00:00,SHORT,0.7455313997297551,0.5802211965672425,0.2909439836802416,WIN,88.0,True,atr14_not_above_20bar_mean
