scope,feature,winner_mean,loser_mean,standardized_difference,winner_higher_auc,first_half_difference,second_half_difference,direction_stable_halves
LONG,range_pct,1.310066055593838,1.5878289676471247,-0.29056280739918966,0.4176,0.02232157773982557,-0.57229841966753,False
LONG,atr_expansion,0.9481484978532763,1.0532519347031526,-0.7594304914150083,0.2816,-0.07525785699356258,-0.14268285071359676,True
LONG,bars_since_release,13.04,14.32,-0.0994821991273795,0.45840000000000003,-4.0,2.5999999999999996,False
LONG,squeeze_on_last6,2.52,1.72,0.307313702519145,0.604,-0.2666666666666666,2.3000000000000003,False
SHORT,sqzmom_abs_pct_price,2.2919766583010532,2.0007899956782906,0.19540811844668016,0.5240384615384616,1.1644366479642208,-0.502793380505411,False
SHORT,sqzmom_delta_pct_price,-0.06720555823284408,-0.06620908015465811,-0.01615506077194995,0.5336538461538461,-0.014817043410577421,0.009913684605758442,False
SHORT,sqzmom_accel_pct_price,-0.1853382852734229,-0.15862943239487592,-0.21490231354218303,0.5144230769230769,-0.10828191942670976,0.05077781270213977,False
SHORT,sqzmom_slope3_pct_price,0.025463584403867593,0.013105636042780006,0.21943296244415486,0.5256410256410257,0.039323916302777644,-0.01547522174531147,False
SHORT,sqzmom_slope6_pct_price,0.21770129178906567,0.1881202955260398,0.21543077785659162,0.5240384615384616,0.07615201930686882,-0.008504168245425936,False
SHORT,reversal_retracement,0.10226250970366636,0.0759711443441579,0.14181822566889937,0.4182692307692308,-0.07657726078297278,0.12586066631904633,False
SHORT,prior_impulse_bars,14.076923076923077,15.833333333333334,-0.38833159955816293,0.38621794871794873,0.26923076923077005,-4.012987012987013,False
SHORT,prior_impulse_amplitude_pct_price,4.883732141750626,4.790093630018569,0.029847878203025684,0.4807692307692308,1.7988000856774846,-1.4243261475114135,False
SHORT,return_3,-0.008812234894778039,-0.009869131869813802,0.11250549737756141,0.5721153846153846,0.001128406449883974,8.975914370729261e-05,True
SHORT,return_6,-0.0031087913710802903,-0.0024620895752025854,-0.05556134214798316,0.5080128205128205,-0.0030757229579547484,0.0018004217320466177,False
SHORT,return_12,0.008083881906110427,0.009409519994585077,-0.10194677248065086,0.49198717948717946,-0.0021160549910498516,-0.0008900017612741146,True
SHORT,return_24,0.005593428611317534,0.008913121046399589,-0.13540825094956768,0.47596153846153844,-0.0054821914284303155,-0.0020239882249792687,True
SHORT,distance_sma20,0.005317030831672167,0.005035708621882258,0.027843403268817984,0.5224358974358975,0.0005404747576292692,-0.0002490004483941899,False
SHORT,distance_sma50,-0.0016591759872265576,0.000572212589145397,-0.10355341539173596,0.4683333333333333,-0.012156103729638013,0.005552680897412492,False
SHORT,sma20_slope5,0.004728749505566898,0.005356224830227606,-0.125421657308107,0.48878205128205127,4.9200063601075907e-05,-0.0012038929450114127,False
SHORT,range_position20,0.6419152395519074,0.5671588244853332,0.37360919766709266,0.6153846153846154,0.1126661300945534,0.03199872341733545,True
SHORT,range_position50,0.5287010700781377,0.5408210312590245,-0.05040247550014665,0.4766666666666667,-0.06066284507242825,0.026973966301080288,False
SHORT,atr_pct,1.2659423015982028,1.2359972195567506,0.07274221830637605,0.532051282051282,0.16398223628689546,-0.07389300441067181,False
SHORT,realized_vol12,2.3147715879995197,2.78516173028532,-0.44677097536821325,0.38461538461538464,-0.7447590536536253,-0.1515184627944337,True
SHORT,realized_vol24,4.167245643580656,3.8353803174554115,0.20614503927845368,0.5384615384615384,0.9953983469335155,-0.19514559872254722,False
SHORT,range_pct,1.2439520064479515,1.3336404285313002,-0.12029118766914029,0.4519230769230769,-0.044921727787442745,-0.10446672664447787,True
SHORT,atr_expansion,0.931260954636149,1.0036480387162119,-0.6041955373472156,0.32532051282051283,-0.13786027825119906,-0.013264745496546437,True
SHORT,bars_since_release,14.384615384615385,13.416666666666666,0.08102592401002358,0.4895833333333333,-0.897435897435896,2.8311688311688314,False
SHORT,squeeze_on_last6,2.5,2.2916666666666665,0.07856003254698615,0.5328525641025641,-0.012820512820512775,0.577922077922078,False
