side,dimension,group,n,win_rate,expectancy,profit_factor,average_pnl,median_pnl,average_win,average_loss,payoff_ratio,mean_mfe,mean_mae,loss_lt_3_rate,loss_lt_5_rate,best_trade,worst_trade,mean_duration_hours
LONG,alignment,COUNTER,30,46.666666666666664,0.06837780367297233,1.0664137066583492,0.06837780367297233,-0.2756063204703257,2.3527531569166427,-1.9304506304152396,1.2187585218952561,2.7819979180214385,-3.0877847737857236,6.666666666666667,3.3333333333333335,6.63919893652782,-10.527325841297898,83.2
LONG,adx_band,HIGH,19,47.368421052631575,-0.5482439882254831,0.6184307555695834,-0.5482439882254831,-0.2893514696429488,1.8758697806349547,-2.729946380199877,0.6871452839662039,2.698678446588777,-4.043004812655467,10.526315789473683,10.526315789473683,3.777275595334861,-10.527325841297898,82.52631578947368
LONG,adx_band,LOW,15,60.0,-1.0695094326311039,0.40772595916063764,-1.0695094326311039,0.3675075648720375,1.2270973940623797,-4.5144196726713295,0.27181730610709176,1.9383214743352875,-3.6353427798586737,13.333333333333334,13.333333333333334,2.280890492249666,-15.608768974289973,98.66666666666667
LONG,adx_band,MID,16,43.75,0.14220903821594894,1.125381078800059,0.14220903821594894,-0.3220666702912605,2.917539527138792,-2.0163813420573735,1.4469185298857903,3.1022670334482476,-2.3868375487693942,12.5,6.25,6.63919893652782,-6.419972395723778,70.0
LONG,trend_adx_group,ALIGNED_HIGH,4,50.0,-1.8104280255284741,0.21314798095275517,-1.8104280255284741,-0.11540613086367994,0.9808428242172624,-4.601698875274211,0.21314798095275517,2.3286411951098365,-4.77383865344664,25.0,25.0,1.903146440518936,-8.914046280905474,67.0
LONG,trend_adx_group,ALIGNED_LOW,10,70.0,-1.3773398799642655,0.41798592227954606,-1.3773398799642655,1.0999385849555212,1.4130946362625862,-7.888353751160252,0.17913682383409116,2.129656211673983,-4.281493852915629,20.0,20.0,2.280890492249666,-15.608768974289973,100.4
LONG,trend_adx_group,ALIGNED_MID,6,33.33333333333333,-0.8700259771213621,0.40529646665700075,-0.8700259771213621,-0.6776192671133118,1.778794481570959,-2.1944362064675227,0.8105929333140015,2.65248678292762,-2.49879959368829,16.666666666666664,16.666666666666664,3.3399662866912534,-6.419972395723778,66.66666666666667
LONG,trend_adx_group,COUNTER_HIGH,15,46.666666666666664,-0.21166157827801868,0.8245517194099864,-0.21166157827801868,-0.309722183860434,2.131591768182866,-2.262008256431293,0.9423448221828414,2.7973550469831614,-3.8481157884444883,6.666666666666667,6.666666666666667,3.777275595334861,-10.527325841297898,86.66666666666667
LONG,trend_adx_group,COUNTER_LOW,5,40.0,-0.45384853796478125,0.33676125871316975,-0.45384853796478125,-0.4278583764946643,0.5761070463616569,-1.1404855941824066,0.5051418880697547,1.5556519996578975,-2.3430406337447645,0.0,0.0,0.9226259873840572,-2.5389370153454096,95.2
LONG,trend_adx_group,COUNTER_MID,10,50.0,0.7495500474183354,1.7999733899406736,0.7495500474183354,1.0054737305141188,3.373037545365924,-1.8739374505292539,1.7999733899406734,3.372135183760624,-2.319660321818057,10.0,0.0,6.63919893652782,-4.060230794942054,72.0
